City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
3,Rikitea,PF,78.03,light rain,-23.1203,-134.9692,Pension Maro'i
8,Itabaiana,BR,86.0,few clouds,-10.685,-37.4253,Pousada Santana
9,Atuona,PF,78.03,clear sky,-9.8,-139.0333,Villa Enata
10,Vanimo,PG,80.02,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
27,Niquelandia,BR,80.91,moderate rain,-14.4739,-48.4597,Hotel Suinã
34,Puerto Ayora,EC,79.0,broken clouds,-0.7393,-90.3518,Castillo Galapagos
35,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
40,Mahebourg,MU,80.6,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
42,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
48,Chimbote,PE,75.58,scattered clouds,-9.0853,-78.5783,Hotel Briliá
50,Hermanus,ZA,78.01,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
54,Ilhabela,BR,86.54,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
60,Avarua,CK,77.0,light rain,-21.2078,-159.775,Paradise Inn
61,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
62,Saldanha,ZA,80.6,few clouds,-33.0117,17.9442,Blue Bay Lodge
66,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Pirineos
68,Antipolo,PH,78.8,broken clouds,14.5864,121.1753,Date & Dine Resort
70,Comodoro Rivadavia,AR,75.2,clear sky,-45.8667,-67.5,Austral Hotel
81,Sola,VU,82.47,light rain,-13.8833,167.55,Leumerus Bungalows
86,Waingapu,ID,79.7,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
89,Hambantota,LK,77.0,light rain,6.1241,81.1185,Bungalow 63
91,Gualaquiza,EC,76.87,light rain,-3.4,-78.55,Hotel Merceditas
92,Bosaso,SO,76.03,clear sky,11.2842,49.1816,Red Sea Hotel
95,Mersing,MY,78.8,overcast clouds,2.4312,103.8405,Timotel Hotel
97,Kununurra,AU,84.2,scattered clouds,-15.7667,128.7333,Hotel Kununurra
103,Timbiqui,CO,79.77,light rain,2.7717,-77.6654,hotel diana
108,Georgetown,MY,82.4,scattered clouds,5.4112,100.3354,Cititel Penang
109,Mount Isa,AU,84.2,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
110,Santa Fe,AR,80.01,clear sky,-31.6333,-60.7,Conquistador Hotel
117,Namibe,AO,82.4,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
118,Trincomalee,LK,79.2,light rain,8.5711,81.2335,Welcombe Hotel
120,Olinda,BR,82.4,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
124,Meulaboh,ID,77.7,overcast clouds,4.1363,96.1285,Kost Pria
125,Cockburn Town,TC,77.95,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
127,Butaritari,KI,80.42,few clouds,3.0707,172.7902,Isles Sunset Lodge
128,Vila Velha,BR,87.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
129,Hithadhoo,MV,81.63,broken clouds,-0.6,73.0833,Scoop Guest House
133,Port Antonio,JM,84.99,few clouds,18.18,-76.4612,Trident Hotel
136,Finschhafen,PG,80.64,light rain,-6.6024,147.8681,Cossam Guest House
137,Mangochi,MW,78.94,broken clouds,-14.4782,35.2645,Fort Johnstone Hotel
140,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
141,Port-Gentil,GA,80.6,moderate rain,-0.7193,8.7815,Fengshui Residence
143,Kuching,MY,78.8,scattered clouds,1.55,110.3333,Hilton Kuching
144,Cap Malheureux,MU,81.0,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
147,Cape Town,ZA,77.0,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
152,Faanui,PF,80.71,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
154,Calabozo,VE,89.83,clear sky,8.9242,-67.4293,Hotel Giardini
157,Villa Carlos Paz,AR,81.0,clear sky,-31.4241,-64.4978,Monte Carlo
161,Biak,ID,76.57,moderate rain,-0.9131,122.8766,Penginapan Kim
164,Kalmunai,LK,78.04,overcast clouds,7.4167,81.8167,VS Villa
167,Lorengau,PG,82.85,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
169,Kollegal,IN,75.2,few clouds,12.15,77.1167,Hotel Harsha
172,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
174,Conceicao Do Araguaia,BR,84.92,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
175,Port Blair,IN,79.56,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
176,Sao Desiderio,BR,82.74,overcast clouds,-12.3633,-44.9733,Meu cantinho
178,Tiarei,PF,77.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
180,Conde,BR,87.8,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
185,Porto Velho,BR,86.0,scattered clouds,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
192,Porto Novo,BJ,86.0,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
193,Kavieng,PG,83.03,broken clouds,-2.5744,150.7967,Nusa Island Retreat
194,Bambanglipuro,ID,77.56,light rain,-7.95,110.2833,Puri Brata
195,Luwuk,ID,77.81,light rain,-0.9516,122.7875,Hotel Santika Luwuk
201,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
203,Nileshwar,IN,80.8,broken clouds,12.25,75.1,Neeleshwar Hermitage
212,Sinnamary,GF,82.69,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
213,Nhulunbuy,AU,82.4,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
220,Cuamba,MZ,77.07,light rain,-14.8031,36.5372,Hotel Vision
221,Sao Jose Da Coroa Grande,BR,83.5,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
230,Coahuayana,MX,75.2,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
255,Bambous Virieux,MU,81.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
259,Le Vauclin,MQ,84.2,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
261,Ghanzi,BW,87.3,overcast clouds,-21.5667,21.7833,Ghanzi Farmhouse
264,Imbituba,BR,89.6,few clouds,-28.24,-48.6703,Praia Hotel Imbituba
