City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions,Date
0,Albany,US,42.6001,-73.9662,39.0,65,96,4.0,overcast clouds,2021-01-17 16:29:12
1,Calvia,ES,39.5657,2.5062,59.0,67,0,10.36,clear sky,2021-01-17 16:29:12
2,Son La,VN,21.3167,103.9,47.41,79,97,3.11,overcast clouds,2021-01-17 16:29:12
3,Rikitea,PF,-23.1203,-134.9692,78.03,77,0,15.26,light rain,2021-01-17 16:29:13
4,Lebu,CL,-37.6167,-73.65,61.05,72,0,20.54,clear sky,2021-01-17 16:29:13
5,Mataura,NZ,-46.1927,168.8643,42.75,93,74,4.38,broken clouds,2021-01-17 16:29:13
6,Busselton,AU,-33.65,115.3333,69.01,57,78,7.0,broken clouds,2021-01-17 16:29:13
7,Kodiak,US,57.79,-152.4072,37.4,75,1,9.22,clear sky,2021-01-17 16:29:13
8,Itabaiana,BR,-10.685,-37.4253,86.0,62,20,13.8,few clouds,2021-01-17 16:29:13
9,Atuona,PF,-9.8,-139.0333,78.03,76,1,15.52,clear sky,2021-01-17 16:29:13
10,Vanimo,PG,-2.6741,141.3028,80.02,85,88,6.46,light rain,2021-01-17 16:29:13
11,Pevek,RU,69.7008,170.3133,-27.13,87,7,3.94,clear sky,2021-01-17 16:29:13
12,Cherskiy,RU,68.75,161.3,-27.33,84,100,2.89,overcast clouds,2021-01-17 16:29:13
13,Nsunga,TZ,-1.1439,31.3947,77.0,65,20,5.75,few clouds,2021-01-17 16:29:13
14,Vardo,NO,70.3705,31.1107,33.8,80,20,16.11,light snow,2021-01-17 16:29:14
15,Ushuaia,AR,-54.8,-68.3,51.8,66,90,2.57,light rain,2021-01-17 16:29:14
16,Tigil,RU,57.8,158.6667,11.64,92,100,10.42,overcast clouds,2021-01-17 16:29:14
17,Barrow,US,71.2906,-156.7887,-0.4,71,90,12.66,overcast clouds,2021-01-17 16:25:57
18,Nenton,GT,15.8,-91.75,64.4,68,20,3.6,few clouds,2021-01-17 16:29:14
19,Grindavik,IS,63.8424,-22.4338,33.8,93,75,17.27,broken clouds,2021-01-17 16:29:14
20,Khatanga,RU,71.9667,102.5,-24.41,82,0,12.97,clear sky,2021-01-17 16:29:14
21,Tateyama,JP,34.9833,139.8667,41.0,68,52,14.23,broken clouds,2021-01-17 16:29:14
22,Yellowknife,CA,62.456,-114.3525,-2.0,84,90,6.91,light snow,2021-01-17 16:29:14
23,Kapaa,US,22.0752,-159.319,71.6,94,75,8.05,broken clouds,2021-01-17 16:29:14
24,Ulundi,ZA,-28.3352,31.4162,71.71,67,95,8.14,overcast clouds,2021-01-17 16:29:14
25,Aketi,CD,2.7388,23.7833,86.94,46,78,2.37,broken clouds,2021-01-17 16:29:14
26,Bethel,US,41.3712,-73.414,39.0,52,75,12.66,broken clouds,2021-01-17 16:29:14
27,Niquelandia,BR,-14.4739,-48.4597,80.91,63,100,2.62,moderate rain,2021-01-17 16:29:14
28,Haverfordwest,GB,51.8017,-4.9691,44.6,87,93,6.91,overcast clouds,2021-01-17 16:29:15
29,New Norfolk,AU,-42.7826,147.0587,61.0,72,100,5.99,overcast clouds,2021-01-17 16:29:15
30,Tiksi,RU,71.6872,128.8694,-18.81,88,100,8.72,overcast clouds,2021-01-17 16:29:15
31,Campbell River,CA,50.0163,-125.2446,43.0,93,75,2.3,broken clouds,2021-01-17 16:29:15
32,Ponta Do Sol,PT,32.6667,-17.1,59.0,61,41,5.01,scattered clouds,2021-01-17 16:29:15
33,Dikson,RU,73.5069,80.5464,-23.67,85,84,16.31,broken clouds,2021-01-17 16:29:15
34,Puerto Ayora,EC,-0.7393,-90.3518,79.0,73,75,9.22,broken clouds,2021-01-17 16:25:57
35,Vaini,TO,-21.2,-175.2,78.8,94,40,4.61,scattered clouds,2021-01-17 16:29:15
36,Valenca Do Piaui,BR,-6.4075,-41.7456,90.9,41,73,4.5,broken clouds,2021-01-17 16:29:15
37,Ternovskaya,RU,45.8542,40.4086,29.79,98,100,18.32,snow,2021-01-17 16:29:15
38,Provideniya,RU,64.3833,-173.3,-8.66,85,66,7.61,broken clouds,2021-01-17 16:29:15
39,Kaitangata,NZ,-46.2817,169.8464,51.01,72,100,4.0,overcast clouds,2021-01-17 16:29:15
40,Mahebourg,MU,-20.4081,57.7,80.6,83,40,12.66,scattered clouds,2021-01-17 16:29:16
41,Punta Arenas,CL,-53.15,-70.9167,50.0,93,90,11.5,moderate rain,2021-01-17 16:29:16
42,Carnarvon,AU,-24.8667,113.6333,82.4,89,41,3.44,scattered clouds,2021-01-17 16:29:16
43,Norden,DE,53.6,7.2,33.01,86,100,5.01,overcast clouds,2021-01-17 16:29:16
44,Hami,CN,42.8,93.45,16.32,73,0,0.96,clear sky,2021-01-17 16:29:16
45,Walvis Bay,NA,-22.9575,14.5053,73.4,56,0,16.11,clear sky,2021-01-17 16:29:16
46,Muscat,OM,23.6139,58.5922,71.6,78,0,2.3,clear sky,2021-01-17 16:29:16
47,Mar Del Plata,AR,-38.0023,-57.5575,68.0,68,75,16.11,light rain,2021-01-17 16:29:16
48,Chimbote,PE,-9.0853,-78.5783,75.58,68,50,11.9,scattered clouds,2021-01-17 16:29:16
49,San Vicente,AR,-26.6167,-54.1333,70.54,100,100,4.27,light rain,2021-01-17 16:29:16
50,Hermanus,ZA,-34.4187,19.2345,78.01,56,5,8.99,clear sky,2021-01-17 16:29:16
51,Arraial Do Cabo,BR,-22.9661,-42.0278,91.4,45,0,14.97,clear sky,2021-01-17 16:29:16
52,Tuatapere,NZ,-46.1333,167.6833,45.77,78,25,7.2,scattered clouds,2021-01-17 16:29:17
53,Juneau,US,58.3019,-134.4197,44.6,81,90,18.41,snow,2021-01-17 16:29:17
54,Ilhabela,BR,-23.7781,-45.3581,86.54,60,99,5.1,overcast clouds,2021-01-17 16:29:17
55,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,17.6,79,75,6.71,light snow,2021-01-17 16:29:17
56,Cabo San Lucas,MX,22.8909,-109.9124,69.8,37,1,3.44,clear sky,2021-01-17 16:29:17
57,Hobart,AU,-42.8794,147.3294,62.6,55,90,12.66,overcast clouds,2021-01-17 16:29:17
58,Talnakh,RU,69.4865,88.3972,-16.49,72,100,7.05,overcast clouds,2021-01-17 16:29:17
59,Jamestown,US,42.097,-79.2353,34.0,93,90,10.36,light snow,2021-01-17 16:29:17
60,Avarua,CK,-21.2078,-159.775,77.0,88,78,3.44,light rain,2021-01-17 16:29:17
61,Souillac,MU,-20.5167,57.5167,80.6,83,40,12.66,light rain,2021-01-17 16:29:17
62,Saldanha,ZA,-33.0117,17.9442,80.6,39,11,17.27,few clouds,2021-01-17 16:29:17
63,Saint George,US,37.1041,-113.5841,35.6,48,1,4.61,clear sky,2021-01-17 16:25:02
64,Minden,DE,52.2833,8.9167,33.8,80,89,5.75,overcast clouds,2021-01-17 16:28:37
65,Storforshei,NO,66.4043,14.5233,14.0,85,0,2.3,clear sky,2021-01-17 16:29:18
66,San Cristobal,VE,7.7669,-72.225,82.4,65,40,5.75,scattered clouds,2021-01-17 16:29:18
67,Khani,GE,41.9563,42.9566,51.8,82,90,9.22,overcast clouds,2021-01-17 16:29:18
68,Antipolo,PH,14.5864,121.1753,78.8,78,75,3.44,broken clouds,2021-01-17 16:29:18
69,Narsaq,GL,60.9167,-46.05,26.6,74,75,7.61,light snow,2021-01-17 16:28:10
