City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-01-17 03:01:43,-23.1203,-134.9692,79.18,67,41,6.44
1,Fortuna,US,2021-01-17 03:01:43,40.5982,-124.1573,50.0,100,90,8.05
2,Honningsvag,NO,2021-01-17 03:01:43,70.9821,25.9704,37.67,78,91,17.69
3,Touros,BR,2021-01-17 03:01:43,-5.1989,-35.4608,78.8,69,40,8.05
4,Berlevag,NO,2021-01-17 03:00:53,70.8578,29.0864,33.87,92,100,16.96
5,Russell,US,2021-01-17 03:01:43,32.3502,-85.1999,39.2,80,1,2.75
6,Takoradi,GH,2021-01-17 03:01:43,4.8845,-1.7554,78.3,86,43,5.93
7,Airai,TL,2021-01-17 03:01:43,-8.9266,125.4092,65.91,100,100,0.22
8,Busselton,AU,2021-01-17 03:01:43,-33.65,115.3333,82.0,38,0,4.0
9,Carnarvon,AU,2021-01-17 03:01:43,-24.8667,113.6333,96.8,41,87,17.27
10,Ushuaia,AR,2021-01-17 03:01:01,-54.8,-68.3,48.2,87,75,18.41
11,Hermanus,ZA,2021-01-17 03:01:44,-34.4187,19.2345,57.0,94,0,5.01
12,Aklavik,CA,2021-01-17 03:01:44,68.2191,-135.0107,-9.4,77,67,6.91
13,Albany,US,2021-01-17 03:00:30,42.6001,-73.9662,37.0,68,100,1.01
14,Korla,CN,2021-01-17 03:01:44,41.7597,86.1469,17.13,80,0,6.2
15,Jiaojiang,CN,2021-01-17 03:01:44,28.6803,121.4428,46.99,49,0,15.21
16,Sao Filipe,CV,2021-01-17 03:01:44,14.8961,-24.4956,71.19,74,99,12.37
17,Balabac,PH,2021-01-17 03:01:45,7.9868,117.0645,75.56,93,100,12.48
18,Chokurdakh,RU,2021-01-17 03:01:45,70.6333,147.9167,-18.53,88,100,11.88
19,Mahajanga,MG,2021-01-17 03:01:45,-15.7167,46.3167,77.0,88,20,4.61
20,Bethel,US,2021-01-17 03:01:45,41.3712,-73.414,35.6,64,1,8.05
21,Mahebourg,MU,2021-01-17 03:01:45,-20.4081,57.7,78.8,83,40,8.05
22,Richards Bay,ZA,2021-01-17 03:01:45,-28.783,32.0377,70.12,88,15,7.47
23,Bengkulu,ID,2021-01-17 03:01:45,-3.8004,102.2655,84.13,57,100,2.35
24,Meulaboh,ID,2021-01-17 03:01:45,4.1363,96.1285,80.85,71,100,2.59
25,Nakhon Phanom,TH,2021-01-17 03:01:46,17.3333,104.4167,79.0,60,75,8.05
